Retrieved by E4-util: 2012/01/16,13:56:13                            1 0  0    0
 4.009000+3 8.934761+0         -1          0          0          1 409 1451    1
 0.000000+0 0.000000+0          0          0          0          6 409 1451    2
 9.991673-1 1.130000+8          1          0      10010          7 409 1451    3
 0.000000+0 0.000000+0          0          0         10         17 409 1451    4
  4-Be-  9 LANL       EVAL-NOV88 P.G.Young, E.D.Arthur             409 1451    5
                      DIST-DEC06 REV1-                 20111222    409 1451    6
----ENDF/B-VII.1      MATERIAL  409         REVISION 1             409 1451    7
-----INCIDENT PROTON DATA                                          409 1451    8
------ENDF-6 FORMAT                                                409 1451    9
                                                                   409 1451   10
 REFERENCE: P. G. Young, E. D. Arthur, et al, "Transport Data      409 1451   11
 Libraries for Incident Proton and Neutron Energies to 100 Mev,"   409 1451   12
 Los Alamos National Laboratory report LA-11753-MS (July 1990).    409 1451   13
 7.071068-1-1.384498-1 7.660445-1-4.301565+0 8.191521-1-1.103712+1 409 6  2   17
 8.660254-1-2.123441+1 9.063078-1-3.475123+1 9.396926-1-4.577960+1 409 6  2   18
 9.659258-1-2.344012+1 9.848078-1 1.585048+2                       409 6  2   19
 0.000000+0 1.000000+6         12          0         70         35 409 6  2   20
-1.000000+0-3.932728-1-9.961947-1-3.893117-1-9.848077-1-3.868074-1 409 6  2   21
-9.659258-1-3.823226-1-9.396926-1-3.760658-1-9.063078-1-3.675008-1 409 6  2   22
-8.660254-1-3.565364-1-8.191520-1-3.426462-1-7.660444-1-3.254139-1 409 6  2   23
-7.071068-1-3.042273-1-6.427876-1-2.783589-1-5.735764-1-2.468922-1 409 6  2   24
-5.000000-1-2.086708-1-4.226182-1-1.623719-1-3.420201-1-1.062571-1 409 6  2   25
-2.588190-1-3.817268-2-1.736481-1 4.451404-2-8.715571-2 1.451303-1 409 6  2   26
 2.679490-8 2.679360-1 8.715577-2 4.181653-1 1.736482-1 6.024728-1 409 6  2   27
 2.588191-1 8.294805-1 3.420202-1 1.109645+0 4.226183-1 1.456493+0 409 6  2   28
 5.000000-1 1.886097+0 5.735764-1 2.416302+0 6.427876-1 3.066863+0 409 6  2   29
 7.071068-1 3.850422+0 7.660445-1 4.748639+0 8.191521-1 5.678856+0 409 6  2   30
 8.660254-1 6.327088+0 9.063078-1 5.787599+0 9.396926-1 1.324276+0 409 6  2   31
 9.659258-1-1.569706+1 9.848078-1-7.365801+1                       409 6  2   32
 0.000000+0 2.000000+6         12          0         70         35 409 6  2   33
-1.000000+0-3.446995-1-9.961947-1-3.431313-1-9.848077-1-3.428619-1 409 6  2   34
-9.659258-1-3.423138-1-9.396926-1-3.414473-1-9.063078-1-3.399705-1 409 6  2   35
-8.660254-1-3.380257-1-8.191520-1-3.352590-1-7.660444-1-3.315070-1 409 6  2   36
-7.071068-1-3.262990-1-6.427876-1-3.196060-1-5.735764-1-3.110804-1 409 6  2   37
-5.000000-1-3.005756-1-4.226182-1-2.873246-1-3.420201-1-2.711501-1 409 6  2   38
-2.588190-1-2.514557-1-1.736481-1-2.276168-1-8.715571-2-1.988196-1 409 6  2   39
 2.679490-8-1.639988-1 8.715577-2-1.216528-1 1.736482-1-6.977320-2 409 6  2   40
 2.588191-1-5.499308-3 3.420202-1 7.527334-2 4.226183-1 1.785628-1 409 6  2   41
 5.000000-1 3.131613-1 5.735764-1 4.921976-1 6.427876-1 7.360389-1 409 6  2   42
 7.071068-1 1.075721+0 7.660445-1 1.561262+0 8.191521-1 2.273221+0 409 6  2   43
 8.660254-1 3.345397+0 9.063078-1 4.997077+0 9.396926-1 7.542380+0 409 6  2   44
 9.659258-1 1.108605+1 9.848078-1 1.155803+1                       409 6  2   45
 0.000000+0 3.000000+6         12          0         70         35 409 6  2   46
-1.000000+0-3.992852-1-9.961947-1-3.993371-1-9.848077-1-4.009147-1 409 6  2   47
-9.659258-1-4.036850-1-9.396926-1-4.065897-1-9.063078-1-4.096252-1 409 6  2   48
-8.660254-1-4.120182-1-8.191520-1-4.132945-1-7.660444-1-4.128951-1 409 6  2   49
-7.071068-1-4.100642-1-6.427876-1-4.041841-1-5.735764-1-3.947875-1 409 6  2   50
-5.000000-1-3.814920-1-4.226182-1-3.639245-1-3.420201-1-3.419961-1 409 6  2   51
-2.588190-1-3.154469-1-1.736481-1-2.842310-1-8.715571-2-2.483014-1 409 6  2   52
 2.679490-8-2.073593-1 8.715577-2-1.610033-1 1.736482-1-1.083751-1 409 6  2   53
 2.588191-1-4.795900-2 3.420202-1 2.271328-2 4.226183-1 1.078638-1 409 6  2   54
 5.000000-1 2.142264-1 5.735764-1 3.527946-1 6.427876-1 5.414500-1 409 6  2   55
 7.071068-1 8.099706-1 7.660445-1 1.208892+0 8.191521-1 1.828523+0 409 6  2   56
 8.660254-1 2.836574+0 9.063078-1 4.567693+0 9.396926-1 7.738395+0 409 6  2   57
 9.659258-1 1.401603+1 9.848078-1 2.713494+1                       409 6  2   58
 0.000000+0 4.000000+6         12          0         70         35 409 6  2   59
